Code,DelistingDate,ListingDate,ListingDateSource,Market,Name,SecuGroup,SnapshotDate,Source,IsDelisted
000990,,1975-12-12,FDR_DESC,KOSPI,DB하이텍,주권,2026-09-06,KOSPI-DESC,False
000995,2023-07-17,2007-05-21,FDR_DELISTING,KOSPI,DB하이텍1우,주권,2026-09-06,KRX-DELISTING,True
000997,2015-07-15,2007-05-21,FDR_DELISTING,KOSPI,동부하이텍2우B,주권,2026-09-06,KRX-DELISTING,True
0009K0,,2025-12-04,FDR_DESC,KOSDAQ,에임드바이오,주권,2026-09-06,KOSDAQ-DESC,False
001000,,1994-06-28,FDR_DESC,KOSDAQ,신라섬유,주권,2026-09-06,KOSDAQ-DESC,False
001020,,1976-06-26,FDR_DESC,KOSPI,페이퍼코리아,주권,2026-09-06,KOSPI-DESC,False
001030,2002-08-10,1962-07-13,FDR_DELISTING,KOSPI,리젠트화재,주권,2026-09-06,KRX-DELISTING,True
001035,2002-08-10,1999-05-27,FDR_DELISTING,KOSPI,리젠트화재(1우B),주권,2026-09-06,KRX-DELISTING,True
001040,,1973-06-29,FDR_DESC,KOSPI,CJ,주권,2026-09-06,KOSPI-DESC,False
001045,,2014-06-17,FDR_FIRST_TRADE,KOSPI,CJ우,주권,2026-09-06,KOSPI-DESC,False
001047,2009-03-21,1999-01-29,FDR_DELISTING,KOSPI,CJ2우B,주권,2026-09-06,KRX-DELISTING,True
001049,2010-01-13,2000-01-28,FDR_DELISTING,KOSPI,CJ3우B,주권,2026-09-06,KRX-DELISTING,True
00104K,,2019-08-09,FDR_FIRST_TRADE,KOSPI,CJ4우(전환),주권,2026-09-06,KOSPI-DESC,False
001060,,1976-06-14,FDR_DESC,KOSPI,JW중외제약,주권,2026-09-06,KOSPI-DESC,False
001065,,2014-06-17,FDR_FIRST_TRADE,KOSPI,JW중외제약우,주권,2026-09-06,KOSPI-DESC,False
001067,,2014-06-17,FDR_FIRST_TRADE,KOSPI,JW중외제약2우B,주권,2026-09-06,KOSPI-DESC,False
001070,,1973-12-28,FDR_DESC,KOSPI,대한방직,주권,2026-09-06,KOSPI-DESC,False
001080,,1977-06-18,FDR_DESC,KOSPI,만호제강,주권,2026-09-06,KOSPI-DESC,False
001090,1998-10-17,1975-09-30,FDR_DELISTING,KOSPI,동서증권,주권,2026-09-06,KRX-DELISTING,True
001095,1998-10-17,1989-04-13,FDR_DELISTING,KOSPI,동서증권(1우),주권,2026-09-06,KRX-DELISTING,True
0010F0,,2026-04-03,FDR_DESC,KOSDAQ,보원케미칼,주권,2026-09-06,KOSDAQ-DESC,False
0010V0,,2025-08-21,FDR_DESC,KOSDAQ,제이피아이헬스케어,주권,2026-09-06,KOSDAQ-DESC,False
001100,1994-12-23,1973-06-26,FDR_DELISTING,KOSPI,동양정밀공업,주권,2026-09-06,KRX-DELISTING,True
001105,1994-12-23,1989-12-21,FDR_DELISTING,KOSPI,동양정밀공업우,주권,2026-09-06,KRX-DELISTING,True
001110,2002-04-27,1991-01-14,FDR_DELISTING,KOSPI,대농,주권,2026-09-06,KRX-DELISTING,True
001120,,1976-01-30,FDR_DESC,KOSPI,LX인터내셔널,주권,2026-09-06,KOSPI-DESC,False
001130,,1970-11-25,FDR_DESC,KOSPI,대한제분,주권,2026-09-06,KOSPI-DESC,False
001140,2026-01-27,1989-12-02,FDR_DELISTING,KOSPI,국보,주권,2026-09-06,KRX-DELISTING,True
001150,2003-10-02,1974-11-26,FDR_DELISTING,KOSPI,서통,주권,2026-09-06,KRX-DELISTING,True
001155,2003-10-02,1989-01-21,FDR_DELISTING,KOSPI,서통(1우),주권,2026-09-06,KRX-DELISTING,True
001160,1999-08-27,1978-08-28,FDR_DELISTING,KOSPI,신원제이엠씨,주권,2026-09-06,KRX-DELISTING,True
001170,1999-11-25,1988-10-14,FDR_DELISTING,KOSPI,장은증권,주권,2026-09-06,KRX-DELISTING,True
001190,2009-04-27,1988-10-20,FDR_DELISTING,KOSPI,마이크로닉스,주권,2026-09-06,KRX-DELISTING,True
0011A0,,2026-03-09,FDR_DESC,KOSDAQ,액스비스,주권,2026-09-06,KOSDAQ-DESC,False
0011T0,,2026-04-29,FDR_DESC,KOSDAQ,채비,주권,2026-09-06,KOSDAQ-DESC,False
001200,,1987-08-24,FDR_DESC,KOSPI,유진투자증권,주권,2026-09-06,KOSPI-DESC,False
001210,,1973-11-15,FDR_DESC,KOSPI,금호전기,주권,2026-09-06,KOSPI-DESC,False
001230,,1988-05-09,FDR_DESC,KOSPI,동국홀딩스,주권,2026-09-06,KOSPI-DESC,False
001250,,1976-06-26,FDR_DESC,KOSPI,GS글로벌,주권,2026-09-06,KOSPI-DESC,False
001260,,1976-12-28,FDR_DESC,KOSPI,남광토건,주권,2026-09-06,KOSPI-DESC,False
001265,2007-06-26,1999-05-20,FDR_DELISTING,KOSPI,남광토건(1우B),주권,2026-09-06,KRX-DELISTING,True
001270,,1988-07-19,FDR_DESC,KOSPI,부국증권,주권,2026-09-06,KOSPI-DESC,False
001275,,2014-06-17,FDR_FIRST_TRADE,KOSPI,부국증권우,주권,2026-09-06,KOSPI-DESC,False
001280,2004-06-24,1988-07-26,FDR_DELISTING,KOSPI,우리증권,주권,2026-09-06,KRX-DELISTING,True
001290,,1988-09-23,FDR_DESC,KOSPI,상상인증권,주권,2026-09-06,KOSPI-DESC,False
001295,2000-08-05,1989-04-17,FDR_DELISTING,KOSPI,대유리젠트증권(1우),주권,2026-09-06,KRX-DELISTING,True
001300,2014-07-15,1975-05-15,FDR_DELISTING,KOSPI,제일모직,주권,2026-09-06,KRX-DELISTING,True
001310,2012-05-18,1978-11-30,FDR_DELISTING,KOSPI,풍림산업,주권,2026-09-06,KRX-DELISTING,True
001340,,1976-06-10,FDR_DESC,KOSPI,PKC,주권,2026-09-06,KOSPI-DESC,False
001350,2000-06-30,1977-06-30,FDR_DELISTING,KOSPI,대한모방,주권,2026-09-06,KRX-DELISTING,True
001355,1983-04-09,1977-06-30,FDR_DELISTING,KOSPI,대한모방우,주권,2026-09-06,KRX-DELISTING,True
001360,,1975-07-04,FDR_DESC,KOSPI,삼성제약,주권,2026-09-06,KOSPI-DESC,False
001370,2009-08-17,1988-05-25,FDR_DELISTING,KOSPI,FnC코오롱,주권,2026-09-06,KRX-DELISTING,True
001375,2009-08-17,1988-11-21,FDR_DELISTING,KOSPI,FnC코오롱우,주권,2026-09-06,KRX-DELISTING,True
001380,,1976-06-29,FDR_DESC,KOSPI,SG글로벌,주권,2026-09-06,KOSPI-DESC,False
001385,2013-12-09,1995-03-21,FDR_DELISTING,KOSPI,SG충남방적우,주권,2026-09-06,KRX-DELISTING,True
001390,,1989-08-25,FDR_DESC,KOSPI,KG케미칼,주권,2026-09-06,KOSPI-DESC,False
0013V0,,2025-12-22,FDR_DESC,KOSDAQ,삼진식품,주권,2026-09-06,KOSDAQ-DESC,False
001400,2001-04-24,1976-06-08,FDR_DELISTING,KOSPI,동산씨앤지,주권,2026-09-06,KRX-DELISTING,True
