Code,Name,ListingDate,DelistingDate,Source
004990,롯데지주,1974-02-16,,KOSPI-DESC
005010,휴스틸,1973-06-29,,KOSPI-DESC
005030,부산주공,1975-12-26,,KOSPI-DESC
005070,코스모신소재,1987-09-28,,KOSPI-DESC
005090,SGC에너지,1993-01-06,,KOSPI-DESC
005110,한창,1976-06-01,,KOSPI-DESC
005180,빙그레,1978-08-31,,KOSPI-DESC
005250,녹십자홀딩스,1978-08-28,,KOSPI-DESC
005300,롯데칠성,1973-06-21,,KOSPI-DESC
005320,온타이드,1996-12-24,,KOSPI-DESC
005360,모나미,1974-06-26,,KOSPI-DESC
005380,현대차,1974-06-28,,KOSPI-DESC
005390,신성통상,1975-12-22,2025-09-30,KRX-DELISTING
005420,코스모화학,1987-07-23,,KOSPI-DESC
005430,한국공항,1976-12-28,,KOSPI-DESC
005440,현대지에프홀딩스,1989-08-22,,KOSPI-DESC
005490,POSCO홀딩스,1988-06-10,,KOSPI-DESC
005500,삼진제약,1988-06-18,,KOSPI-DESC
005610,삼립,1975-05-02,,KOSPI-DESC
005680,삼영전자,1976-12-28,,KOSPI-DESC
005690,파미셀,1988-05-20,,KOSPI-DESC
005720,넥센,1987-12-19,,KOSPI-DESC
005740,크라운해태홀딩스,1976-06-30,,KOSPI-DESC
005750,대림바스,1992-12-23,,KOSPI-DESC
005800,신영와코루,1976-12-28,,KOSPI-DESC
005810,풍산홀딩스,1988-07-28,,KOSPI-DESC
005820,원림,1990-04-20,,KOSPI-DESC
005830,DB손해보험,1973-06-28,,KOSPI-DESC
005850,에스엘,1988-11-08,,KOSPI-DESC
005870,휴니드,1991-09-03,,KOSPI-DESC
005880,대한해운,1992-04-23,,KOSPI-DESC
005930,삼성전자,1975-06-11,,KOSPI-DESC
005940,NH투자증권,1975-09-30,,KOSPI-DESC
005950,이수화학,1988-04-28,,KOSPI-DESC
005960,동부건설,1978-10-30,,KOSPI-DESC
006040,동원산업,1989-03-07,,KOSPI-DESC
006060,화승인더,1991-02-04,,KOSPI-DESC
006090,사조오양,1986-12-24,,KOSPI-DESC
006110,삼아알미늄,1980-12-05,,KOSPI-DESC
006120,SK디스커버리,1976-06-29,,KOSPI-DESC
006200,한국전자홀딩스,1979-11-30,,KOSPI-DESC
006220,제주은행,1972-12-28,,KOSPI-DESC
006260,LS,1977-06-30,,KOSPI-DESC
006280,녹십자,1989-08-01,,KOSPI-DESC
006340,대원전선,1988-05-04,,KOSPI-DESC
006360,GS건설,1981-08-03,,KOSPI-DESC
006370,대구백화점,1988-10-10,,KOSPI-DESC
006380,카프로,1974-05-28,,KOSPI-DESC
006390,한일현대시멘트,1975-12-26,2025-11-21,KRX-DELISTING
006400,삼성SDI,1979-02-27,,KOSPI-DESC
006490,프리티,1985-01-17,,KOSPI-DESC
006570,대림통상,1975-11-20,,KOSPI-DESC
006650,대한유화,1999-08-11,,KOSPI-DESC
006660,삼성공조,1987-11-28,,KOSPI-DESC
006740,블루산업개발,1996-07-03,,KOSPI-DESC
006800,미래에셋증권,1975-09-30,,KOSPI-DESC
006840,AK홀딩스,1999-08-11,,KOSPI-DESC
006880,신송홀딩스,2013-11-21,,KOSPI-DESC
006890,태경케미컬,2003-01-28,,KOSPI-DESC
006980,우성,1988-10-10,,KOSPI-DESC
007070,GS리테일,2011-12-23,,KOSPI-DESC
007110,일신석재,1986-03-04,,KOSPI-DESC
007120,미래아이앤지,1999-11-26,,KOSPI-DESC
007160,사조산업,1989-07-25,,KOSPI-DESC
